verifier,premise,subset,coding,n,delta_vs_mdeberta,diff_ci_lo,diff_ci_hi,p_raw,p_holm
DeBERTa-v3-large-mnli-fever-anli-ling-wanli,fact,core97,strict,83,0.04551724137931046,-0.05220219656434806,0.1430943480861244,0.351824087956022,1.0
DeBERTa-v3-large-mnli-fever-anli-ling-wanli,fact,core97,lenient,83,0.019186046511627808,-0.06280339248575219,0.10278801269129269,0.6586706646676662,1.0
DeBERTa-v3-large-mnli-fever-anli-ling-wanli,fact,all282,strict,287,0.04199372056514916,-0.008691305227073827,0.09077518479359553,0.10994502748625687,1.0
DeBERTa-v3-large-mnli-fever-anli-ling-wanli,fact,all282,lenient,287,0.01763841254287113,-0.024347297925381248,0.061276849545445926,0.44577711144427784,1.0
DeBERTa-v3-large-mnli-fever-anli-ling-wanli,record,core97,strict,87,0.01954602774274894,-0.15079765913099247,0.1891862914277012,0.8235882058970515,1.0
DeBERTa-v3-large-mnli-fever-anli-ling-wanli,record,core97,lenient,87,0.041269841269841345,-0.12287274774774787,0.19559874467200908,0.6416791604197901,1.0
DeBERTa-v3-large-mnli-fever-anli-ling-wanli,record,all282,strict,299,0.09278671510119352,0.005890865485546859,0.18546706684278713,0.038980509745127435,0.6626686656671664
DeBERTa-v3-large-mnli-fever-anli-ling-wanli,record,all282,lenient,299,0.10525249797461522,0.022614122031777567,0.1850877789874796,0.010994502748625687,0.21989005497251374
Bespoke-MiniCheck-7B,fact,core97,strict,83,0.030344827586206935,-0.06744219584286806,0.12013588263588267,0.5027486256871564,1.0
Bespoke-MiniCheck-7B,fact,core97,lenient,83,-0.006104651162790686,-0.09412443102240885,0.08115055721063653,0.8725637181409296,1.0
Bespoke-MiniCheck-7B,fact,all282,strict,287,0.059794797039695036,0.005850482004173797,0.11391863955257872,0.031984007996002,0.5757121439280359
Bespoke-MiniCheck-7B,fact,all282,lenient,287,0.037212150906418495,-0.011560645836001153,0.08858677567946754,0.16591704147926037,1.0
Bespoke-MiniCheck-7B,record,core97,strict,87,0.1475409836065572,-0.02164554045751873,0.31177482103952686,0.09495252373813093,1.0
Bespoke-MiniCheck-7B,record,core97,lenient,87,0.17566137566137574,0.024841437632135307,0.3233367105707528,0.0239880059970015,0.45577211394302847
Bespoke-MiniCheck-7B,record,all282,strict,299,0.2139335755059678,0.12224261435243522,0.301790076977623,0.0009995002498750624,0.0239880059970015
Bespoke-MiniCheck-7B,record,all282,lenient,299,0.22542533081285454,0.14524315359576492,0.30587328806816505,0.0009995002498750624,0.0239880059970015
Gemma-3-27B-it,fact,core97,strict,83,-0.036206896551724155,-0.1472469390304848,0.07144480519480519,0.5237381309345327,1.0
Gemma-3-27B-it,fact,core97,lenient,83,-0.052906976744186096,-0.1669912587412587,0.059099543226381404,0.3498250874562719,1.0
Gemma-3-27B-it,fact,all282,strict,287,0.002102489347387382,-0.07188300852394006,0.07264842387900113,0.9865067466266867,1.0
Gemma-3-27B-it,fact,all282,lenient,287,-0.041156295933366005,-0.106068625646251,0.024281926251296344,0.21989005497251374,1.0
Gemma-3-27B-it,record,core97,strict,87,0.11759142496847397,-0.07549598726860889,0.2919164618053589,0.23288355822088955,1.0
Gemma-3-27B-it,record,core97,lenient,87,0.10793650793650811,-0.07821143617021292,0.2859193473488685,0.2368815592203898,1.0
Gemma-3-27B-it,record,all282,strict,299,0.21346652828230417,0.11246661742442107,0.3081365730165981,0.0009995002498750624,0.0239880059970015
Gemma-3-27B-it,record,all282,lenient,299,0.2155909622828337,0.12108275322411788,0.3049082723895868,0.0009995002498750624,0.0239880059970015
