verifier,premise,indicator,n,mean_score,auroc,n_auroc,n_supported,n_unsupported
mDeBERTa-v3-base-mnli-xnli,fact,cognitive_avoidance,80,0.40436804890632627,0.4912390488110138,64,17,47
mDeBERTa-v3-base-mnli-xnli,fact,confidence_triad,37,0.6049942841400971,0.52,30,20,10
mDeBERTa-v3-base-mnli-xnli,fact,overconfidence,55,0.3297740502790971,0.5128458498023716,45,23,22
mDeBERTa-v3-base-mnli-xnli,fact,productive_struggle,25,0.326768798828125,0.5625,18,2,16
mDeBERTa-v3-base-mnli-xnli,fact,slipping,44,0.053221279924566094,0.48437500000000006,26,16,10
mDeBERTa-v3-base-mnli-xnli,fact,unproductive_frustration,36,0.30804986423916286,0.47619047619047616,28,7,21
mDeBERTa-v3-base-mnli-xnli,fact,pooled,277,,0.49355742296918764,211,85,126
mDeBERTa-v3-base-mnli-xnli,record,cognitive_avoidance,80,0.05823513865470886,0.40801001251564456,64,17,47
mDeBERTa-v3-base-mnli-xnli,record,confidence_triad,37,0.036528084729168867,0.645,30,20,10
mDeBERTa-v3-base-mnli-xnli,record,overconfidence,55,0.02088230306451971,0.5810276679841897,45,23,22
mDeBERTa-v3-base-mnli-xnli,record,productive_struggle,25,0.053475532531738285,0.1875,18,2,16
mDeBERTa-v3-base-mnli-xnli,record,slipping,44,0.0387208570133556,0.48124999999999996,26,16,10
mDeBERTa-v3-base-mnli-xnli,record,unproductive_frustration,36,0.007540729310777452,0.5918367346938775,28,7,21
mDeBERTa-v3-base-mnli-xnli,record,pooled,277,,0.4929971988795518,211,85,126
DeBERTa-v3-large-mnli-fever-anli-ling-wanli,fact,cognitive_avoidance,80,0.6700466446578502,0.5087609511889862,64,17,47
DeBERTa-v3-large-mnli-fever-anli-ling-wanli,fact,confidence_triad,37,0.9019376909410631,0.6475,30,20,10
DeBERTa-v3-large-mnli-fever-anli-ling-wanli,fact,overconfidence,55,0.49577096375552093,0.558300395256917,45,23,22
DeBERTa-v3-large-mnli-fever-anli-ling-wanli,fact,productive_struggle,25,0.6071944427490235,0.5625,18,2,16
DeBERTa-v3-large-mnli-fever-anli-ling-wanli,fact,slipping,44,0.07511203668334267,0.321875,26,16,10
DeBERTa-v3-large-mnli-fever-anli-ling-wanli,fact,unproductive_frustration,36,0.29915475845336914,0.48299319727891155,28,7,21
DeBERTa-v3-large-mnli-fever-anli-ling-wanli,fact,pooled,277,,0.5312324929971989,211,85,126
DeBERTa-v3-large-mnli-fever-anli-ling-wanli,record,cognitive_avoidance,80,0.10914450883865356,0.642052565707134,64,17,47
DeBERTa-v3-large-mnli-fever-anli-ling-wanli,record,confidence_triad,37,0.40280398162635594,0.7349999999999999,30,20,10
DeBERTa-v3-large-mnli-fever-anli-ling-wanli,record,overconfidence,55,0.01308980638330633,0.4644268774703557,45,23,22
DeBERTa-v3-large-mnli-fever-anli-ling-wanli,record,productive_struggle,25,0.13845783710479737,0.75,18,2,16
DeBERTa-v3-large-mnli-fever-anli-ling-wanli,record,slipping,44,0.6832929199392145,0.6125,26,16,10
DeBERTa-v3-large-mnli-fever-anli-ling-wanli,record,unproductive_frustration,36,0.008512755235036215,0.7619047619047619,28,7,21
DeBERTa-v3-large-mnli-fever-anli-ling-wanli,record,pooled,277,,0.6354808590102707,211,85,126
Bespoke-MiniCheck-7B,fact,cognitive_avoidance,80,0.6946998206692969,0.5256570713391739,64,17,47
Bespoke-MiniCheck-7B,fact,confidence_triad,37,0.8048504399327486,0.8049999999999999,30,20,10
Bespoke-MiniCheck-7B,fact,overconfidence,55,0.622126150275223,0.6047430830039525,45,23,22
Bespoke-MiniCheck-7B,fact,productive_struggle,25,0.6178154024015251,0.6875,18,2,16
Bespoke-MiniCheck-7B,fact,slipping,44,0.26711033837145054,0.403125,26,16,10
Bespoke-MiniCheck-7B,fact,unproductive_frustration,36,0.5759575251318506,0.4693877551020408,28,7,21
Bespoke-MiniCheck-7B,fact,pooled,277,,0.5628851540616246,211,85,126
Bespoke-MiniCheck-7B,record,cognitive_avoidance,80,0.0976225774806682,0.7346683354192741,64,17,47
Bespoke-MiniCheck-7B,record,confidence_triad,37,0.5691953656081685,0.77,30,20,10
Bespoke-MiniCheck-7B,record,overconfidence,55,0.16277242240219114,0.5968379446640316,45,23,22
Bespoke-MiniCheck-7B,record,productive_struggle,25,0.20620381899480691,0.5625,18,2,16
Bespoke-MiniCheck-7B,record,slipping,44,0.2970960933692174,0.7874999999999999,26,16,10
Bespoke-MiniCheck-7B,record,unproductive_frustration,36,0.10189816068945938,0.8571428571428572,28,7,21
Bespoke-MiniCheck-7B,record,pooled,277,,0.7726423902894491,211,85,126
Gemma-3-27B-it,fact,cognitive_avoidance,80,0.9012499999999999,0.3610763454317898,64,17,47
Gemma-3-27B-it,fact,confidence_triad,37,0.8756756756756754,0.615,30,20,10
Gemma-3-27B-it,fact,overconfidence,55,0.8618181818181818,0.6363636363636365,45,23,22
Gemma-3-27B-it,fact,productive_struggle,25,0.866,0.46875,18,2,16
Gemma-3-27B-it,fact,slipping,44,0.7840909090909093,0.446875,26,16,10
Gemma-3-27B-it,fact,unproductive_frustration,36,0.8916666666666665,0.40476190476190477,28,7,21
Gemma-3-27B-it,fact,pooled,277,,0.4646125116713352,211,85,126
Gemma-3-27B-it,record,cognitive_avoidance,80,0.5081249999999999,0.7734668335419274,64,17,47
Gemma-3-27B-it,record,confidence_triad,37,0.7878378378378379,0.6950000000000001,30,20,10
Gemma-3-27B-it,record,overconfidence,55,0.4790909090909092,0.6175889328063242,45,23,22
Gemma-3-27B-it,record,productive_struggle,25,0.46199999999999997,0.578125,18,2,16
Gemma-3-27B-it,record,slipping,44,0.7965909090909092,0.746875,26,16,10
Gemma-3-27B-it,record,unproductive_frustration,36,0.5722222222222222,0.9591836734693878,28,7,21
Gemma-3-27B-it,record,pooled,277,,0.7712418300653594,211,85,126
